nome,indirizzo,href,rating_globale,n_valutazioni,n_aree,aree_specialistiche,rating_dimensioni_json,rating_per_area_json
Ospedale Civile di San Giovanni Bianco - ASST Papa Giovanni XXIII,"Via Castelli, 5 - 24015
San Giovanni Bianco (BG)",https://www.micuro.it/strutture/ospedale-civile-san-giovanni-bianco,3.8,3.0,9,"Cardiologia, Chirurgia Generale, Ginecologia, Medicina Interna - Generale, Ortopedia e Traumatologia, Pediatria, Pronto soccorso, Radiologia e Diagnostica per Immagini, Riabilitazione Ortopedica","{""Da consigliare a parenti e amici"": 3.3, ""Pulizia"": 4.3, ""Rispetto della privacy"": 4.3, ""Qualità dell'ospitalità e della struttura"": 4.3, ""Disponibilità e gentilezza del personale medico"": 3.0, ""Disponibilità e gentilezza del personale non medico"": 4.7, ""Chiarezza delle informazioni mediche ricevute"": 3.3, ""Chiarezza delle informazioni amministrative e organizzative"": 4.7, ""Qualità dei pasti"": 1.0, ""Gestione delle visite dei parenti"": 1.0}","{""Pronto soccorso"": 4.5}"
ICS Maugeri Pavia,"Via Boezio, 28 - 27100
Pavia (PV)",https://www.micuro.it/strutture/istituto-scientifico-di-pavia,3.8,2.0,33,"Allergologia, Analisi di Laboratorio, Angiologia, Cardiochirurgia, Cardiologia, Chirurgia Generale, Chirurgia Plastica e Medicina Estetica, Chirurgia Vascolare, Cure Palliative - Hospice, Dermatologia, Endocrinologia e Diabetologia, Gastroenterologia, Geriatria, Ginecologia, Medicina Interna - Generale, Nefrologia, Neurologia, Neuropsichiatria Infantile, Oculistica, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pneumologia, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Radioterapia, Reumatologia, Riabilitazione Cardio-Respiratoria, Riabilitazione Neurologica, Riabilitazione Ortopedica, Servizi Territoriali, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 5.0, ""Pulizia"": 4.5, ""Rispetto della privacy"": 4.0, ""Qualità dell'ospitalità e della struttura"": 3.0, ""Disponibilità e gentilezza del personale medico"": 5.0, ""Disponibilità e gentilezza del personale non medico"": 3.5, ""Chiarezza delle informazioni mediche ricevute"": 3.0, ""Chiarezza delle informazioni amministrative e organizzative"": 3.0, ""Qualità dei pasti"": 4.0, ""Gestione delle visite dei parenti"": 3.5}","{""Cure Palliative - Hospice"": 5.0}"
Presidio Socio Sanitario Territoriale di Gorgonzola - ASST Melegnano e Martesana,"Via Bellini, 5 - 20064
Gorgonzola (MI)",https://www.micuro.it/strutture/ospedale-serbelloni,3.8,2.0,7,"Cardiologia, Chirurgia Generale, Cure Palliative - Hospice, Ginecologia, Oncologia, Radiologia e Diagnostica per Immagini, Riabilitazione Ortopedica","{""Da consigliare a parenti e amici"": 4.0, ""Pulizia"": 4.5, ""Rispetto della privacy"": 4.5, ""Qualità dell'ospitalità e della struttura"": 2.0, ""Disponibilità e gentilezza del personale medico"": 1.0, ""Disponibilità e gentilezza del personale non medico"": 3.0, ""Chiarezza delle informazioni mediche ricevute"": 4.5, ""Chiarezza delle informazioni amministrative e organizzative"": 4.5, ""Qualità dei pasti"": 4.0, ""Gestione delle visite dei parenti"": 5.0}","{""Ginecologia"": 5.0}"
IRCCS Policlinico San Donato di San Donato Milanese - Gruppo San Donato,"Piazza Edmondo Malan - 20097
San Donato Milanese (MI)",https://www.micuro.it/strutture/policlinico-san-donato-gruppo-ospedaliero-san-donato,3.7,19.0,43,"Allergologia, Analisi di Laboratorio, Anatomia Patologica, Angiologia, Cardiochirurgia, Cardiochirurgia Pediatrica, Cardiologia, Chirurgia Generale, Chirurgia Plastica e Medicina Estetica, Chirurgia Vascolare, Dermatologia, Dietologia e Nutrizione Clinica, Elettrofisiologia e Emodinamica, Ematologia e Immunoematologia, Emodialisi, Endocrinologia e Diabetologia, Gastroenterologia, Genetica, Ginecologia, Malattie Infettive e Tropicali, Medicina Interna - Generale, Nefrologia, Neurologia, Neurologia d'urgenza e Stroke Unit, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pneumologia, Pronto soccorso, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Radioterapia, Reumatologia, Riabilitazione Cardio-Respiratoria, Riabilitazione Neurologica, Riabilitazione Ortopedica, Senologia, Terapia Intensiva, Unità Coronarica - Unità Intensiva Cardiologica, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.7, ""Pulizia"": 4.1, ""Rispetto della privacy"": 3.9, ""Qualità dell'ospitalità e della struttura"": 3.7, ""Disponibilità e gentilezza del personale medico"": 3.8, ""Disponibilità e gentilezza del personale non medico"": 3.7, ""Chiarezza delle informazioni mediche ricevute"": 3.8, ""Chiarezza delle informazioni amministrative e organizzative"": 3.6, ""Qualità dei pasti"": 3.5, ""Gestione delle visite dei parenti"": 3.8}","{""Cardiochirurgia"": 4.0, ""Cardiochirurgia Pediatrica"": 3.0, ""Cardiologia"": 5.0, ""Odontoiatria e Stomatologia"": 1.0, ""Ortopedia e Traumatologia"": 5.0, ""Urologia e Andrologia"": 5.0}"
Presidio Ospedaliero Gaetano Pini - ASST Gaetano Pini-CTO,"Via Gaetano Pini, 9 - 20122
Milano (MI)",https://www.micuro.it/strutture/istituto-ortopedico-gaetano-pini,3.7,11.0,23,"Analisi di Laboratorio, Anatomia Patologica, Cardiologia, Chirurgia Pediatrica, Chirurgia Vascolare, Chirurgia Vertebrale, Dietologia e Nutrizione Clinica, Farmacologia Clinica, Lungodegenti, Medicina dei Trapianti, Medicina Sportiva, Neurologia, Oncologia, Ortopedia e Traumatologia, Pediatria, Pensionanti, Pronto soccorso, Pronto soccorso ortopedico, Radiologia e Diagnostica per Immagini, Reumatologia, Riabilitazione Oncologica, Riabilitazione Ortopedica, Servizi Territoriali","{""Da consigliare a parenti e amici"": 3.6, ""Pulizia"": 3.6, ""Rispetto della privacy"": 4.4, ""Qualità dell'ospitalità e della struttura"": 4.0, ""Disponibilità e gentilezza del personale medico"": 3.9, ""Disponibilità e gentilezza del personale non medico"": 3.9, ""Chiarezza delle informazioni mediche ricevute"": 3.7, ""Chiarezza delle informazioni amministrative e organizzative"": 3.5, ""Qualità dei pasti"": 3.4, ""Gestione delle visite dei parenti"": 4.1}","{""Oncologia"": 5.0, ""Pronto soccorso ortopedico"": 1.0, ""Reumatologia"": 5.0}"
Ospedale Città di Sesto San Giovanni - ASST Nord Milano,"Viale Matteotti, 83 - 20099
Sesto San Giovanni (MI)",https://www.micuro.it/strutture/ospedale-citta-di-sesto-san-giovanni,3.7,8.0,36,"Allergologia, Analisi di Laboratorio, Anatomia Patologica, Angiologia, Cardiologia, Chirurgia Generale, Chirurgia Plastica e Medicina Estetica, Chirurgia Toracica, Dietologia e Nutrizione Clinica, Endocrinologia e Diabetologia, Gastroenterologia, Geriatria, Ginecologia, Medicina Interna - Generale, Nefrologia, Neonatologia, Neurologia, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pneumologia, Pronto soccorso, Pronto soccorso pediatrico, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Riabilitazione Neurologica, Riabilitazione Ortopedica, Senologia, Servizi Territoriali, Terapia Intensiva, Unità Coronarica - Unità Intensiva Cardiologica, Urologia Pediatrica","{""Da consigliare a parenti e amici"": 3.8, ""Pulizia"": 3.8, ""Rispetto della privacy"": 4.1, ""Qualità dell'ospitalità e della struttura"": 3.9, ""Disponibilità e gentilezza del personale medico"": 4.1, ""Disponibilità e gentilezza del personale non medico"": 3.8, ""Chiarezza delle informazioni mediche ricevute"": 4.0, ""Chiarezza delle informazioni amministrative e organizzative"": 3.6, ""Qualità dei pasti"": 2.0, ""Gestione delle visite dei parenti"": 3.5}","{""Analisi di Laboratorio"": 4.0, ""Chirurgia Generale"": 5.0, ""Chirurgia Toracica"": 4.0, ""Endocrinologia e Diabetologia"": 1.0, ""Ostetricia"": 4.0, ""Pediatria"": 5.0, ""Radiologia e Diagnostica per Immagini"": 4.0, ""Senologia"": 5.0, ""Servizi Territoriali"": 4.0, ""Terapia Intensiva"": 4.0}"
Ospedale di Desenzano del Garda - ASST Garda,"Località Montecroce - 25015
Desenzano del Garda (BS)",https://www.micuro.it/strutture/ospedale-di-desenzano-del-garda,3.7,8.0,29,"Allergologia, Anatomia Patologica, Cardiologia, Chirurgia Generale, Dermatologia, Dietologia e Nutrizione Clinica, Elettrofisiologia e Emodinamica, Ematologia e Immunoematologia, Endocrinologia e Diabetologia, Gastroenterologia, Ginecologia, Medicina Interna - Generale, Neonatologia, Neurologia, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pneumologia, Pronto soccorso, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Senologia, Terapia Intensiva, Unità Coronarica - Unità Intensiva Cardiologica, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.2, ""Pulizia"": 3.8, ""Rispetto della privacy"": 4.0, ""Qualità dell'ospitalità e della struttura"": 3.3, ""Disponibilità e gentilezza del personale medico"": 3.4, ""Disponibilità e gentilezza del personale non medico"": 3.8, ""Chiarezza delle informazioni mediche ricevute"": 3.5, ""Chiarezza delle informazioni amministrative e organizzative"": 3.8, ""Qualità dei pasti"": 3.7, ""Gestione delle visite dei parenti"": 3.3}","{""Anatomia Patologica"": 5.0, ""Cardiologia"": 4.0, ""Dietologia e Nutrizione Clinica"": 5.0, ""Oculistica"": 5.0}"
Presidio Ospedaliero Erba-Renaldi di Menaggio - ASST Lariana,"Via Casartelli, 7 - 22017
Menaggio (CO)",https://www.micuro.it/strutture/ospedale-erba-renaldi,3.7,2.0,20,"Allergologia, Analisi di Laboratorio, Cardiologia, Chirurgia Generale, Dermatologia, Endocrinologia e Diabetologia, Gastroenterologia, Medicina Interna - Generale, Nefrologia, Neurologia, Oculistica, Ortopedia e Traumatologia, Otorinolaringoiatria, Pneumologia, Pronto soccorso, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Reumatologia, Riabilitazione Ortopedica, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.0, ""Pulizia"": 4.5, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 4.5, ""Disponibilità e gentilezza del personale medico"": 3.0, ""Disponibilità e gentilezza del personale non medico"": 4.0, ""Chiarezza delle informazioni mediche ricevute"": 3.0, ""Chiarezza delle informazioni amministrative e organizzative"": 3.0, ""Qualità dei pasti"": 5.0, ""Gestione delle visite dei parenti"": 3.0}","{""Dermatologia"": 1.0, ""Radiologia e Diagnostica per Immagini"": 5.0}"
Ospedale San Giuseppe MultiMedica,"Via San Vittore, 12 - 20123
Milano (MI)",https://www.micuro.it/strutture/ospedale-san-giuseppe-multimedica,3.6,20.0,47,"Allergologia, Analisi di Laboratorio, Angiologia, Cardiochirurgia, Cardiologia, Check Up, Chirurgia Generale, Chirurgia Maxillo Facciale, Chirurgia Plastica e Medicina Estetica, Chirurgia Toracica, Chirurgia Vascolare, Dermatologia, Dietologia e Nutrizione Clinica, Elettrofisiologia e Emodinamica, Ematologia e Immunoematologia, Endocrinologia e Diabetologia, Gastroenterologia, Ginecologia, Immunologia, Medicina del Lavoro, Medicina Interna - Generale, Medicina Nucleare, Nefrologia, Neonatologia, Neurochirurgia, Neurologia, Neurologia d'urgenza e Stroke Unit, Neuropsichiatria Infantile, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pneumologia, Pronto soccorso, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Radioterapia, Radioterapia Oncologica, Reumatologia, Riabilitazione Cardio-Respiratoria, Riabilitazione Neurologica, Riabilitazione Ortopedica, Senologia, Terapia Intensiva, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.6, ""Pulizia"": 4.1, ""Rispetto della privacy"": 3.6, ""Qualità dell'ospitalità e della struttura"": 3.7, ""Disponibilità e gentilezza del personale medico"": 3.6, ""Disponibilità e gentilezza del personale non medico"": 4.2, ""Chiarezza delle informazioni mediche ricevute"": 3.7, ""Chiarezza delle informazioni amministrative e organizzative"": 3.5, ""Qualità dei pasti"": 3.5, ""Gestione delle visite dei parenti"": 3.4}","{""Gastroenterologia"": 1.0, ""Pneumologia"": 5.0, ""Pronto soccorso"": 1.0, ""Urologia e Andrologia"": 5.0}"
Ospedale di Sondrio - ASST Valtellina e Alto Lario,"Via Stelvio, 25 - 23100
Sondrio (SO)",https://www.micuro.it/strutture/ospedale-di-sondrio,3.6,6.0,38,"Analisi di Laboratorio, Anatomia Patologica, Cardiologia, Chirurgia Generale, Dermatologia, Elettrofisiologia e Emodinamica, Ematologia e Immunoematologia, Endocrinologia e Diabetologia, Geriatria, Ginecologia, Medicina Interna - Generale, Medicina Nucleare, Nefrologia, Neonatologia, Neurologia, Neurologia d'urgenza e Stroke Unit, Neuropsichiatria Infantile, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pneumologia, Pronto soccorso, Pronto soccorso pediatrico, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Radioterapia, Reumatologia, Riabilitazione Cardio-Respiratoria, Riabilitazione Neurologica, Riabilitazione Ortopedica, Senologia, Terapia Intensiva, Unità Coronarica - Unità Intensiva Cardiologica, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.5, ""Pulizia"": 3.5, ""Rispetto della privacy"": 3.3, ""Qualità dell'ospitalità e della struttura"": 3.3, ""Disponibilità e gentilezza del personale medico"": 3.8, ""Disponibilità e gentilezza del personale non medico"": 3.3, ""Chiarezza delle informazioni mediche ricevute"": 3.7, ""Chiarezza delle informazioni amministrative e organizzative"": 3.3, ""Qualità dei pasti"": 4.0, ""Gestione delle visite dei parenti"": 3.7}","{""Medicina Interna - Generale"": 5.0, ""Odontoiatria e Stomatologia"": 5.0, ""Ortopedia e Traumatologia"": 4.0, ""Urologia e Andrologia"": 5.0}"
INRCA Presidio Ospedaliero di Ricerca di Casatenovo,"Via Monteregio, 13 - 23880
Casatenovo (LC)",https://www.micuro.it/strutture/presidio-ospedaliero-di-ricerca,3.6,1.0,4,"Pneumologia, Radiologia e Diagnostica per Immagini, Riabilitazione Cardio-Respiratoria, Servizi Territoriali","{""Pulizia"": 3.0, ""Qualità dell'ospitalità e della struttura"": 3.0, ""Disponibilità e gentilezza del personale medico"": 3.0, ""Disponibilità e gentilezza del personale non medico"": 4.0, ""Chiarezza delle informazioni mediche ricevute"": 5.0, ""Chiarezza delle informazioni amministrative e organizzative"": 3.0, ""Qualità dei pasti"": 4.0, ""Gestione delle visite dei parenti"": 4.0}",{}
Ospedale di Esine - ASST Valcamonica,"Via Manzoni, 142 - 25040
Esine (BS)",https://www.micuro.it/strutture/ospedale-di-esine,3.5,12.0,24,"Cardiologia, Chirurgia Generale, Elettrofisiologia e Emodinamica, Endocrinologia e Diabetologia, Fisiopatologia della Riproduzione - PMA, Gastroenterologia, Ginecologia, Medicina Interna - Generale, Neurologia, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pneumologia, Pronto soccorso, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Reumatologia, Riabilitazione Ortopedica, Senologia, Servizi Territoriali, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.4, ""Pulizia"": 4.0, ""Rispetto della privacy"": 3.6, ""Qualità dell'ospitalità e della struttura"": 3.1, ""Disponibilità e gentilezza del personale medico"": 3.4, ""Disponibilità e gentilezza del personale non medico"": 3.9, ""Chiarezza delle informazioni mediche ricevute"": 3.4, ""Chiarezza delle informazioni amministrative e organizzative"": 3.4, ""Qualità dei pasti"": 3.6, ""Gestione delle visite dei parenti"": 3.8}","{""Chirurgia Generale"": 5.0, ""Endocrinologia e Diabetologia"": 1.0, ""Fisiopatologia della Riproduzione - PMA"": 2.0, ""Gastroenterologia"": 5.0, ""Ginecologia"": 5.0, ""Ortopedia e Traumatologia"": 1.0, ""Otorinolaringoiatria"": 5.0, ""Pneumologia"": 4.0}"
Ospedale Luigi Sacco di Milano - ASST Fatebenefratelli Sacco,"Via G. B. Grassi, 74 - 20157
Milano (MI)",https://www.micuro.it/strutture/ospedale-l-sacco,3.5,11.0,43,"Anatomia Patologica, Angiologia, Cardiochirurgia, Cardiologia, Chirurgia Generale, Cure Palliative - Hospice, Dietologia e Nutrizione Clinica, Elettrofisiologia e Emodinamica, Ematologia e Immunoematologia, Endocrinologia e Diabetologia, Farmacologia Clinica, Fisiopatologia della Riproduzione - PMA, Gastroenterologia, Ginecologia, Malattie Infettive e Tropicali, Medicina del Lavoro, Medicina Interna - Generale, Medicina Sportiva, Nefrologia, Neonatologia, Neurologia, Neurologia d'urgenza e Stroke Unit, Neuropsichiatria Infantile, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pneumologia, Pronto soccorso, Pronto soccorso pediatrico, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Reumatologia, Riabilitazione Cardio-Respiratoria, Riabilitazione Ortopedica, Senologia, Servizi Territoriali, Terapia Intensiva, Unità Coronarica - Unità Intensiva Cardiologica, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.8, ""Pulizia"": 3.4, ""Rispetto della privacy"": 3.5, ""Qualità dell'ospitalità e della struttura"": 3.1, ""Disponibilità e gentilezza del personale medico"": 3.9, ""Disponibilità e gentilezza del personale non medico"": 3.5, ""Chiarezza delle informazioni mediche ricevute"": 3.7, ""Chiarezza delle informazioni amministrative e organizzative"": 3.3, ""Qualità dei pasti"": 2.9, ""Gestione delle visite dei parenti"": 3.1}","{""Cardiologia"": 5.0, ""Neurologia d'urgenza e Stroke Unit"": 4.0, ""Otorinolaringoiatria"": 5.0, ""Pneumologia"": 5.0, ""Pronto soccorso"": 5.0, ""Reumatologia"": 5.0, ""Urologia e Andrologia"": 1.0}"
Ospedale Moriggia Pelascini di Gravedona - Gruppo Italcliniche,"Via Pelascini, 3 - 22015
Gravedona ed Uniti (CO)",https://www.micuro.it/strutture/ospedale-moriggia-pelascini,3.5,4.0,30,"Cardiologia, Chirurgia Generale, Chirurgia Vascolare, Dermatologia, Elettrofisiologia e Emodinamica, Endocrinologia e Diabetologia, Gastroenterologia, Geriatria, Ginecologia, Lungodegenti, Medicina Interna - Generale, Neurochirurgia, Neurologia, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pronto soccorso, Pronto soccorso pediatrico, Radiologia e Diagnostica per Immagini, Reumatologia, Riabilitazione Cardio-Respiratoria, Riabilitazione Neurologica, Riabilitazione Ortopedica, Senologia, Terapia Intensiva, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.0, ""Pulizia"": 3.5, ""Rispetto della privacy"": 5.0, ""Qualità dell'ospitalità e della struttura"": 3.3, ""Disponibilità e gentilezza del personale medico"": 3.7, ""Disponibilità e gentilezza del personale non medico"": 3.8, ""Chiarezza delle informazioni mediche ricevute"": 3.7, ""Chiarezza delle informazioni amministrative e organizzative"": 3.0, ""Qualità dei pasti"": 2.3, ""Gestione delle visite dei parenti"": 5.0}","{""Cardiologia"": 2.0, ""Neurochirurgia"": 5.0}"
Presidio Ospedaliero di Casalpusterlengo - ASST Lodi,"Via Fleming, 1 - 26841
Casalpusterlengo (LO)",https://www.micuro.it/strutture/ospedale-rossi,3.5,3.0,19,"Cardiologia, Cure Palliative - Hospice, Dermatologia, Endocrinologia e Diabetologia, Gastroenterologia, Geriatria, Neurologia, Neuropsichiatria Infantile, Oculistica, Oncologia, Ortopedia e Traumatologia, Otorinolaringoiatria, Pneumologia, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Radioterapia, Riabilitazione Ortopedica, Servizi Territoriali, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.0, ""Pulizia"": 3.5, ""Rispetto della privacy"": 4.0, ""Qualità dell'ospitalità e della struttura"": 3.0, ""Disponibilità e gentilezza del personale medico"": 3.0, ""Disponibilità e gentilezza del personale non medico"": 4.0, ""Chiarezza delle informazioni mediche ricevute"": 3.0, ""Chiarezza delle informazioni amministrative e organizzative"": 3.0, ""Qualità dei pasti"": 4.0, ""Gestione delle visite dei parenti"": 4.3}","{""Cure Palliative - Hospice"": 3.0}"
Ospedale San Carlo Borromeo di Milano - ASST Santi Paolo e Carlo,"Via Pio II, 3 - 20153
Milano (MI)",https://www.micuro.it/strutture/ospedale-san-carlo-borromeo,3.4,14.0,38,"Allergologia, Anatomia Patologica, Cardiologia, Chirurgia Generale, Chirurgia Toracica, Chirurgia Vascolare, Cure Palliative - Hospice, Dietologia e Nutrizione Clinica, Elettrofisiologia e Emodinamica, Ematologia e Immunoematologia, Endocrinologia e Diabetologia, Gastroenterologia, Ginecologia, Medicina Interna - Generale, Nefrologia, Neonatologia, Neurochirurgia, Neurologia, Neurologia d'urgenza e Stroke Unit, Neuropsichiatria Infantile, Oncologia, Ortopedia e Traumatologia, Ostetricia, Pediatria, Pneumologia, Pronto soccorso, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Reumatologia, Riabilitazione Cardio-Respiratoria, Riabilitazione Neurologica, Riabilitazione Oncologica, Riabilitazione Ortopedica, Senologia, Servizi Territoriali, Terapia Intensiva, Unità Coronarica - Unità Intensiva Cardiologica, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.2, ""Pulizia"": 3.1, ""Rispetto della privacy"": 3.4, ""Qualità dell'ospitalità e della struttura"": 3.3, ""Disponibilità e gentilezza del personale medico"": 3.5, ""Disponibilità e gentilezza del personale non medico"": 3.3, ""Chiarezza delle informazioni mediche ricevute"": 3.6, ""Chiarezza delle informazioni amministrative e organizzative"": 3.5, ""Qualità dei pasti"": 3.0, ""Gestione delle visite dei parenti"": 3.3}","{""Chirurgia Generale"": 5.0, ""Neurologia"": 5.0, ""Pronto soccorso"": 1.0, ""Radiologia e Diagnostica per Immagini"": 5.0, ""Servizi Territoriali"": 3.0, ""Urologia e Andrologia"": 5.0}"
Presidio Ospedaliero di Garbagnate Milanese - ASST Rhodense,"Viale Forlanini, 95 - 20024
Garbagnate Milanese (MI)",https://www.micuro.it/strutture/ospedale-g-salvini-ospedale-di-garbagnate,3.4,11.0,33,"Analisi di Laboratorio, Anatomia Patologica, Cardiologia, Chirurgia Generale, Chirurgia Vascolare, Cure Palliative - Hospice, Dietologia e Nutrizione Clinica, Emodialisi, Endocrinologia e Diabetologia, Gastroenterologia, Ginecologia, Medicina Interna - Generale, Nefrologia, Neonatologia, Neurologia, Neurologia d'urgenza e Stroke Unit, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pneumologia, Pronto soccorso, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Riabilitazione Neurologica, Riabilitazione Ortopedica, Senologia, Terapia Intensiva, Unità Coronarica - Unità Intensiva Cardiologica, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.3, ""Pulizia"": 3.4, ""Rispetto della privacy"": 3.4, ""Qualità dell'ospitalità e della struttura"": 3.8, ""Disponibilità e gentilezza del personale medico"": 3.3, ""Disponibilità e gentilezza del personale non medico"": 3.8, ""Chiarezza delle informazioni mediche ricevute"": 3.3, ""Chiarezza delle informazioni amministrative e organizzative"": 3.2, ""Qualità dei pasti"": 3.0, ""Gestione delle visite dei parenti"": 3.7}","{""Ginecologia"": 1.0, ""Medicina Interna - Generale"": 1.0, ""Oculistica"": 4.0, ""Pediatria"": 5.0, ""Riabilitazione Ortopedica"": 3.0, ""Terapia Intensiva"": 5.0}"
Ospedale di Gallarate - ASST Valle Olona,"Via Eusebio Pastori, 4 - 21013
Gallarate (VA)",https://www.micuro.it/strutture/ospedale-sant-antonio-abate,3.4,10.0,31,"Analisi di Laboratorio, Anatomia Patologica, Cardiologia, Chirurgia Generale, Dermatologia, Elettrofisiologia e Emodinamica, Endocrinologia e Diabetologia, Gastroenterologia, Ginecologia, Medicina Interna - Generale, Medicina Nucleare, Nefrologia, Neonatologia, Neurologia, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pneumologia, Pronto soccorso, Pronto soccorso pediatrico, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Reumatologia, Riabilitazione Ortopedica, Senologia, Unità Coronarica - Unità Intensiva Cardiologica, Urologia e Andrologia","{""Da consigliare a parenti e amici"": 3.4, ""Pulizia"": 3.0, ""Rispetto della privacy"": 3.1, ""Qualità dell'ospitalità e della struttura"": 3.1, ""Disponibilità e gentilezza del personale medico"": 3.8, ""Disponibilità e gentilezza del personale non medico"": 3.4, ""Chiarezza delle informazioni mediche ricevute"": 4.0, ""Chiarezza delle informazioni amministrative e organizzative"": 3.6, ""Qualità dei pasti"": 2.7, ""Gestione delle visite dei parenti"": 3.8}","{""Chirurgia Generale"": 4.0, ""Gastroenterologia"": 4.0, ""Oncologia"": 4.0, ""Senologia"": 5.0}"
Ospedale di Manerbio - ASST Garda,"Via Lungomella Valsecchi, 2 - 25025
Manerbio (BS)",https://www.micuro.it/strutture/ospedale-di-manerbio,3.4,4.0,34,"Allergologia, Analisi di Laboratorio, Anatomia Patologica, Cardiologia, Chirurgia Generale, Dermatologia, Dietologia e Nutrizione Clinica, Elettrofisiologia e Emodinamica, Ematologia e Immunoematologia, Emodialisi, Endocrinologia e Diabetologia, Fisiopatologia della Riproduzione - PMA, Gastroenterologia, Ginecologia, Medicina Interna - Generale, Nefrologia, Neonatologia, Neurochirurgia, Neurologia, Oculistica, Odontoiatria e Stomatologia, Oncologia, Ortopedia e Traumatologia, Ostetricia, Otorinolaringoiatria, Pediatria, Pneumologia, Pronto soccorso, Pronto soccorso pediatrico, Psichiatria e Psicologia, Radiologia e Diagnostica per Immagini, Senologia, Terapia Intensiva Neonatale, Unità Coronarica - Unità Intensiva Cardiologica","{""Da consigliare a parenti e amici"": 3.0, ""Pulizia"": 3.5, ""Rispetto della privacy"": 3.7, ""Qualità dell'ospitalità e della struttura"": 4.0, ""Disponibilità e gentilezza del personale medico"": 2.7, ""Disponibilità e gentilezza del personale non medico"": 3.0, ""Chiarezza delle informazioni mediche ricevute"": 3.0, ""Chiarezza delle informazioni amministrative e organizzative"": 3.0, ""Qualità dei pasti"": 2.5, ""Gestione delle visite dei parenti"": 4.0}","{""Allergologia"": 5.0, ""Cardiologia"": 5.0}"
Ospedale Asilo Vittoria di Mortara - ASST Pavia,"Strada Pavese, 1013 - 27036
Mortara (PV)",https://www.micuro.it/strutture/ospedale-asilo-vittoria,3.4,2.0,9,"Chirurgia Generale, Gastroenterologia, Medicina Interna - Generale, Pneumologia, Pronto soccorso, Radiologia e Diagnostica per Immagini, Riabilitazione Neurologica, Riabilitazione Ortopedica, Servizi Territoriali","{""Da consigliare a parenti e amici"": 3.0, ""Pulizia"": 3.0, ""Rispetto della privacy"": 3.0, ""Qualità dell'ospitalità e della struttura"": 3.0, ""Disponibilità e gentilezza del personale medico"": 3.5, ""Disponibilità e gentilezza del personale non medico"": 4.5, ""Chiarezza delle informazioni mediche ricevute"": 3.5, ""Chiarezza delle informazioni amministrative e organizzative"": 3.0, ""Qualità dei pasti"": 3.0, ""Gestione delle visite dei parenti"": 4.0}","{""Medicina Interna - Generale"": 2.0, ""Pronto soccorso"": 5.0}"
