ATS;ASST;CDC;INDIRIZZO STRUTTURA;NUMERO SERVIZI ATTIVI;% SERVIZI ATTIVI
Ats Milano;Asst Santi Paolo E Carlo;Casa Di Comunita' Gola Milano;Via Gola, 22 - Milano (MI);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Umberto I Berzo Inferiore;Piazza Umberto I, 7 - Berzo Inferiore (BS);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Napoleona Como;Via Napoleona, 60 - Como (CO);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Del Lazzaretto Bellagio;Via Del Lazzaretto, 12 - Bellagio (CO);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Buttafava Cassano Magnago;Via Buttafava, 15 - Cassano Magnago (VA);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Ceretti Laveno-Mombello;Via Ceretti, 8 - Laveno-Mombello (VA);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Donatore Di Sangue Magenta;Via Donatore Di Sangue, 50 - Magenta (MI);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Italia Macherio;Via Italia, 13 - Macherio (MB);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Antonio Ghislanzoni Lecco;Via Antonio Ghislanzoni, 9 - Lecco (LC);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Cardinal Dell'Acqua Sesto Calende;Largo Cardinal Dell'Acqua, 1 - Sesto Calende (VA);13;100%
Ats Val Padana;Asst Di Cremona;Casa Di Comunita' San Sebastiano Cremona;Via San Sebastiano, 14 - Cremona (CR);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Nazionale Cedegolo;Via Nazionale, 103 - Cedegolo (BS);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Garibaldi Lentate Sul Seveso;Via Garibaldi, 37 - Lentate Sul Seveso (MB);13;100%
Ats Milano;Asst Di Lodi;Casa Di Comunita' Di Lodi;Viale Savoia, 1 - Lodi (LO);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Schiantarelli Asola;Via Schiantarelli, 3 - Asola (MN);13;100%
Ats Bergamo;Asst Papa Giovanni Xxiii;Casa Di Comunita' Garibaldi Bergamo;Via Garibaldi, 13/15 - Bergamo (BG);13;100%
Ats Bergamo;Asst Papa Giovanni Xxiii;Casa Di Comunita' Vanoncini Sant'Omobono Terme;Via Vanoncini, 25 - Sant'Omobono Terme (BG);13;100%
Ats Milano;Asst Gom Niguarda;Casa Di Comunita' Ippocrate Milano;Via Ippocrate, 45 - Milano (MI);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Villa Sironi Giovine Italia Gallarate;Piazza Giovine Italia, 2 - Gallarate (VA);13;100%
Ats Brescia;Asst Della Franciacorta;Casa Di Comunita' Aldo Moro Barbariga;Piazza Aldo Moro, 4 - Barbariga (BS);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Corsica Brescia;Via Corsica, 145 - Brescia (BS);13;100%
Ats Brescia;Asst Del Garda;Casa Di Comunita' Repubblica Gargnano;Via Repubblica, 2 - Gargnano (BS);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Italia Olgiate Comasco;Piazza Italia, 8 - Olgiate Comasco (CO);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Casartelli Menaggio;Via Casartelli, 7 - Menaggio (CO);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Garibaldi Porlezza;Via Garibaldi, 64 - Porlezza (CO);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Emilia Broni;Via Emilia, 351 - Broni (PV);13;100%
Ats Milano;Asst Di Lodi;Casa Di Comunita' Flemming Casalpusterlengo;Via Fleming, 1 - Casalpusterlengo (LO);13;100%
Ats Milano;Asst Di Lodi;Casa Di Comunita' Gandolfi Codogno;Viale Gandolfi, 2 - Codogno (LO);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Cavour San Giuliano Milanese;Via Cavour, 15 - San Giuliano Milanese (MI);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Corte Dei Frati Bellusco;Via Corte Dei Frati - Bellusco (MB);13;100%
Ats Milano;Asst Nord Milano;Casa Di Comunita' Oslavia Sesto San Giovanni;Via Oslavia, 1 - Sesto San Giovanni (MI);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Gorizia Trezzo Sull'Adda;Piazzale Gorizia, 2 - Trezzo Sull'Adda (MI);13;100%
Ats Montagna;Asst Della Valtellina E Dell'Alto Lario;Casa Di Comunita' Stelvio Sondrio;Via Stelvio, 35 - Sondrio (SO);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Gradisca Tradate;Via Gradisca, 16 - Tradate (VA);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Nembrini Grumello Del Monte;Via Nembrini, 1 - Grumello Del Monte (BG);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Don Moletta Vaprio D'Adda;Via Don Moletta, 22 - Vaprio D'Adda (MI);13;100%
